Tags,TCGA-AN-A0AK-01,TCGA-EW-A1PC-01,TCGA-GM-A2DL-01,TCGA-AO-A0J2-01,TCGA-A8-A085-01,TCGA-S3-AA10-01,TCGA-AR-A24W-01,TCGA-A8-A08T-01,TCGA-A8-A097-01,TCGA-EW-A1P6-01,TCGA-E9-A22B-01,TCGA-A2-A0T6-01,TCGA-AR-A1AY-01,TCGA-PE-A5DC-01,TCGA-A8-A06Q-01,TCGA-C8-A1HI-01,TCGA-D8-A1XD-01,TCGA-BH-A1EN-11,TCGA-BH-A0EI-01,TCGA-A2-A4S1-01,TCGA-A8-A09Z-01,TCGA-E2-A1IG-01,TCGA-D8-A1X9-01,TCGA-BH-AB28-01,TCGA-BH-A1F0-01,TCGA-A7-A426-01,TCGA-BH-A1F5-01,TCGA-AC-A8OR-01,TCGA-EW-A1OX-01
hsa-mir-486-2,0.000188965,0.000297552,0.002360078,0.000196102,0.00012423,0.001859753,0.004251771,0.000502278,0.000382006,0.000228277,0.002143443,0.000528295,0.000799102,0.00302724,0,0.00043561,0.006615068,0.008003994,0.000159821,0.000415365,0,0.001433128,0.001918945,0.000364891,0.006250092,0.002916988,0.001051831,0.060722272,0.000610375
hsa-mir-487a,0,0.037842388,0.012506355,0.065319037,0.014482841,0,0.074818804,0.046844807,0,0.035483657,0.065594593,0,0.01284964,0.050118513,0,0.018466828,0.009824078,0.121521515,0.039225497,0,0,0.027093245,0,0,0.107284474,0.018892474,0.011406821,0.00945449,0
hsa-mir-487b,0.010153782,0.052326336,0.047555956,0.058707681,0.010013039,0.013627028,0.04526168,0.040483973,0.023092483,0.03270988,0.0539884,0.012616581,0,0.04620071,0.006574449,0.044686051,0.037356482,0.102020123,0.088138059,0.008369672,0.004724305,0.051511681,0.007782051,0.020666829,0.129803586,0.037008246,0.019715875,0.003268285,0
hsa-mir-491,0.071017892,0.079296198,0.038301383,0.050537236,0.021010045,0.034947211,0.045224371,0.04530468,0.021535223,0.09723168,0.013593868,0.026472982,0.093203893,0.028274613,0.156342961,0.075903666,0.07125814,0.15949991,0.024658311,0.03512365,0.092520113,0.067689825,0.00272147,0.006671477,0.121050162,0.006090449,0.066190724,0.057147828,0.034893878
hsa-mir-493,0.022608638,0.035600581,0.014172031,0.025138429,0.014863501,0.009271241,0.014397237,0.013521379,0.017853552,0.034140255,0.019434238,0.023410296,0.008242106,0.012323152,0.00853931,0.026651503,0.021424834,0.008908246,0.04277247,0.001035339,0.007889436,0.026936427,0.004692914,0.013569179,0.032113727,0.006866948,0.01097495,0.00151609,0.001028565
hsa-mir-494,0,0.014967218,0.024732221,0.062003122,0,0.007795637,0.022193956,0,0.079263387,0.014034296,0.011118686,0,0.030493323,0.099113004,0.045132703,0.010955851,0.023313369,0.061795963,0.060505575,0,0,0.03750523,0.013355668,0.005456744,0.233379169,0.059778027,0.027069358,0.005609069,0
hsa-mir-495,0.054387149,0.033366407,0.04521111,0.0863897,0.030647579,0.012165172,0.024738477,0.018586807,0.053010541,0.065702004,0.026439352,0.009654105,0.013595754,0.061866718,0.050307162,0.031751017,0.049373873,0.206642566,0.040465515,0.004269604,0.032535017,0.027471976,0.002977378,0.024329364,0.222298027,0.044976289,0.021120997,0.008753025,0.005302091
hsa-mir-496,0,0.062301044,0.01601411,0.043014666,0.007947843,0.01081646,0.051323508,0,0.012219768,0.012981737,0.013713051,0.04506485,0.021154742,0.036671814,0.010436938,0,0.048520969,0.047634401,0.060272877,0,0,0.037170356,0.015442505,0.015142424,0.068687726,0.006911831,0.025039156,0.002594194,0.002199994
hsa-mir-497,0.044307973,0.114843686,0.117691174,0.121787113,0.016287175,0.022414982,0.126310676,0.182973674,0.035126747,0.209390241,0.205345428,0.059432061,0.044649213,0.105355264,0.346934055,0.098500899,0.368025541,0.2634554,0.08647051,0.105977633,0.004463549,0.08420558,0.03775128,0.079037816,0.345711367,0.058953238,0.177932888,0.069985993,0.002612057
hsa-mir-5000,0,0.323014885,0.151231432,0.250897473,0.030905642,0.056080544,0.039914888,0.049982185,0.261345026,0.100960396,0.126644499,0.077883218,0.109681949,0.106950343,0.202923187,0.078814481,0.020964079,0.037045807,0.200892437,0.086111155,0.145817765,0.125267165,0.024019603,0.009813723,0.190782966,0.080631199,0.048683092,0.010087673,0.051328718
hsa-mir-500a,0.09159967,0.102506736,0.014955805,0.047059355,0.029532798,0.07668131,0.025811024,0.070492224,0.047439304,0.024449282,0.042106919,0.032826639,0.116474639,0.123372977,0.068460028,0.01596347,0.021628414,0.068774809,0.036082719,0.168950878,0.187688249,0.015474644,0.022772021,0.031362503,0.147618674,0.049849439,0.033941595,0.025208813,0.014013142
hsa-mir-500b,0.152941672,0.24812668,0.026530113,0.10581203,0.008378977,0.121634097,0.032464552,0.027101835,0.051530548,0.041057794,0.052406353,0.026394117,0.089209187,0.154644376,0.154043348,0.032051666,0.017051002,0.10043668,0.052195542,0.46692011,0.11860005,0.018287118,0.013024154,0.021285107,0.227585992,0.029147078,0.026397414,0.038288931,0.023193282
hsa-mir-501,0.074660268,0.098098796,0.008704015,0.044880145,0.019743795,0.012163522,0.024942724,0.04777879,0.025012912,0.029108733,0.029444616,0.022814004,0.092367153,0.076113964,0.047225608,0.01910805,0.020921416,0.051070027,0.026927771,0.095774063,0.155728419,0.012905661,0.013971636,0.012838408,0.128357557,0.019995028,0.037883852,0.015154694,0.013797553
hsa-mir-502,0.119455778,0.418950973,0.07064134,0.292208969,0.019633328,0.102424944,0.050713148,0.11113202,0.052825708,0.06413675,0.103741988,0.061845726,0.14806412,0.141545717,0.103128211,0.068843761,0.04661217,0.117669773,0.074445113,0.350102412,0.324215842,0.082638707,0.038147143,0.068577413,0.533271134,0.093907487,0.131438596,0.05767536,0.065214772
hsa-mir-503,0.138372258,0.15998709,0.008308669,0.1159833,0.049858272,0.023808264,0.08133766,0.038194734,0.056483965,0.01071536,0.086590394,0.006612862,0.118738307,0.040863942,0.155067138,0.025094753,0.055180134,0.037745566,0.022743005,0.226655686,0.081714651,0.014726922,0.004078889,0.03582999,0.106912657,0.017115459,0.072337223,0.026552126,0.010895466
hsa-mir-504,0.038742493,0,0.032991482,0.017231032,0,0.008665813,0,0.030893901,0,0,0.032959458,0.01203487,0.016948547,0.044070557,0.050170573,0.048715092,0,0.13738772,0.020695216,0.010645031,0,0.03573572,0.05938593,0,0.141507152,0.016612657,0,0.068587066,0.095178538
hsa-mir-505,0.083485562,0.091615173,0.010440113,0.107599941,0.017871727,0.040014145,0.033794185,0.03888704,0.016436407,0.045330752,0.089939193,0.015219937,0.124885351,0.029686937,0.078146874,0.032883881,0.038043818,0.108570211,0.04248835,0.138465669,0.041293536,0.02383444,0.002518787,0.011819184,0.093553503,0.009015531,0.037859479,0.031027026,0.003453283
hsa-mir-508,0.028435033,0.011448175,0.001261151,0.003952096,0.001752556,0.014310615,0.006790312,0.021257406,0.006062723,0.002862561,0.075784557,0.003864431,0.007774613,0.011624181,0,0.004469303,0.013076811,0.007352598,0.01162926,0.029298424,0,0.006557056,0.007150873,0.001669504,0.001081866,0.002286161,0.011042612,0.003718254,0.000485112
hsa-mir-509-1,0.062974635,0.009014791,0.002979262,0.009336157,0.031050859,0.009390661,0.066837341,0.100434055,0.00795676,0.042264482,0.015625904,0.013041521,0.0275493,0.017908793,0.013591767,0.019796187,0.063187663,0.024813236,0.014016411,0.034606288,0.009766849,0.022589488,0.036198695,0,0.025557236,0.004500554,0.065215752,0.010135084,0.020054937
hsa-mir-509-2,0,0,0.003440838,0.010782604,0,0.016268349,0.030876977,0.05799713,0.018378974,0.039049988,0.0309374,0,0.063635023,0.01378893,0,0.007621074,0.040542958,0.02865754,0.029138341,0.033306521,0,0.029816298,0.037161729,0.007591585,0,0,0.0376598,0.011705309,0.013235446
